facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk,cleaning_delay_ratio
1067,Manish Nagar,4.36,3.15,8.07,2.0,921.0,27.8,High,3.015184381778742
1068,Dharampeth,1.85,8.64,9.99,4.0,908.0,38.7,High,4.257425742574258
1069,Nagpur Central,7.72,1.52,2.96,7.0,594.0,43.1,Low,7.243697478991597
1070,Dharampeth,3.36,8.21,4.08,3.0,804.0,2.6,High,0.32298136645962733
1071,Manish Nagar,9.43,9.35,1.37,2.0,961.0,37.6,High,3.9085239085239087
1072,Nagpur Central,3.17,7.95,5.75,6.0,291.0,25.5,High,8.732876712328768
1073,Dharampeth,2.1,7.28,9.98,4.0,66.0,30.9,High,46.11940298507463
1074,Nagpur Central,8.48,8.54,7.01,2.0,341.0,8.1,Low,2.3684210526315788
1075,Sadar,2.38,1.36,5.95,1.0,647.0,56.6,High,8.734567901234568
1076,Dharampeth,2.61,2.82,3.92,1.0,560.0,67.9,High,12.103386809269164
1077,Dharampeth,6.39,2.12,9.15,2.0,108.0,2.6,Low,2.385321100917431
1078,Nagpur Central,8.87,5.54,4.97,3.0,573.0,43.7,Low,7.613240418118468
1079,Sadar,2.77,7.71,1.34,4.0,199.0,55.2,Low,27.6
1080,Sadar,3.79,6.67,3.65,4.0,520.0,21.2,High,4.069097888675623
1081,Manish Nagar,8.0,8.66,0.67,3.0,588.0,56.9,Low,9.66044142614601
1082,Dharampeth,9.75,2.4,2.02,2.0,647.0,45.9,Low,7.083333333333333
1083,Nagpur Central,5.51,7.61,0.18,1.0,430.0,67.0,Low,15.54524361948956
1084,Manish Nagar,2.3,2.74,4.53,4.0,426.0,70.7,High,16.557377049180328
1085,Sadar,1.13,3.44,6.35,6.0,688.0,4.0,High,0.5805515239477503
1086,Sadar,3.07,7.39,3.43,2.0,756.0,32.6,High,4.306472919418758
1087,Nagpur Central,2.19,9.82,4.2,5.0,813.0,39.8,High,4.889434889434889
1088,Dharampeth,7.1,6.5,9.59,0.0,353.0,11.4,Low,3.2203389830508473
1089,Manish Nagar,2.1,1.49,7.52,3.0,441.0,24.9,High,5.633484162895927
1090,Manish Nagar,5.56,6.55,5.41,4.0,350.0,71.1,High,20.256410256410255
1091,Dharampeth,7.25,1.38,2.85,4.0,541.0,2.2,Low,0.40590405904059046
1092,Manish Nagar,6.23,8.96,8.97,0.0,153.0,33.1,Low,21.493506493506494
1093,Manish Nagar,2.8,7.39,2.35,3.0,447.0,60.8,High,13.571428571428571
1094,Dharampeth,8.24,2.56,3.25,4.0,213.0,24.0,Low,11.214953271028037
1095,Manish Nagar,7.44,1.83,9.09,2.0,546.0,35.1,Low,6.416819012797076
1096,Dharampeth,7.65,2.65,5.3,2.0,855.0,70.4,High,8.224299065420562
1097,Nagpur Central,2.18,9.82,7.42,2.0,985.0,34.7,High,3.519269776876268
1098,Sadar,2.11,5.13,5.91,2.0,462.0,10.3,Low,2.2246220302375814
1099,Sadar,9.35,8.06,6.53,1.0,84.0,4.7,Low,5.529411764705882
1100,Nagpur Central,4.58,6.73,2.99,3.0,251.0,68.1,High,27.023809523809522
1101,Manish Nagar,3.71,6.15,2.41,3.0,131.0,19.9,Low,15.075757575757576
1102,Nagpur Central,5.4,2.31,3.22,2.0,766.0,36.8,High,4.797913950456323
1103,Manish Nagar,6.97,9.51,1.55,5.0,985.0,7.4,High,0.7505070993914809
1104,Nagpur Central,9.6,3.71,8.74,5.0,567.0,31.1,Low,5.475352112676057
1105,Manish Nagar,3.58,6.2,2.83,5.0,201.0,67.0,High,33.16831683168317
1106,Manish Nagar,9.32,7.3,5.61,2.0,50.0,36.7,Low,71.9607843137255
1107,Manish Nagar,1.22,6.84,7.92,1.0,976.0,70.0,High,7.164790174002047
1108,Sadar,6.0,9.47,7.84,4.0,336.0,19.4,High,5.756676557863502
1109,Dharampeth,6.71,2.34,4.38,5.0,138.0,36.8,Low,26.47482014388489
1110,Sadar,1.95,5.58,4.76,4.0,201.0,62.0,High,30.693069306930692
1111,Dharampeth,2.26,4.64,9.95,2.0,277.0,32.8,High,11.798561151079136
1112,Manish Nagar,4.77,5.27,6.75,2.0,666.0,20.8,High,3.1184407796101947
1113,Sadar,9.7,2.07,8.15,3.0,895.0,61.7,High,6.886160714285714
1114,Dharampeth,6.36,2.21,9.03,4.0,296.0,28.7,Low,9.663299663299663
1115,Sadar,9.4,3.5,7.88,4.0,696.0,38.7,High,5.5523672883787665
1116,Sadar,8.24,3.74,1.85,0.0,92.0,70.3,Low,75.59139784946237
1117,Nagpur Central,5.21,4.85,5.62,2.0,39.0,14.2,Low,35.5
1118,Nagpur Central,8.06,6.5,1.02,4.0,83.0,22.4,Low,26.666666666666668
1119,Nagpur Central,1.16,6.71,6.53,4.0,925.0,3.2,High,0.3455723542116631
1120,Nagpur Central,1.98,4.71,9.55,1.0,594.0,28.8,High,4.840336134453781
1121,Dharampeth,8.46,4.68,5.13,6.0,811.0,15.2,High,1.87192118226601
1122,Sadar,8.17,2.96,4.33,3.0,51.0,49.3,Low,94.8076923076923
1123,Sadar,3.09,6.29,0.36,6.0,51.0,13.9,Low,26.73076923076923
1124,Dharampeth,5.78,3.85,9.6,1.0,853.0,48.9,High,5.725995316159251
1125,Manish Nagar,6.45,1.32,1.03,5.0,129.0,19.7,Low,15.153846153846153
1126,Sadar,8.81,4.77,0.41,3.0,180.0,26.2,Low,14.47513812154696
1127,Nagpur Central,6.43,5.27,2.46,3.0,533.0,25.8,Low,4.831460674157303
1128,Manish Nagar,4.71,3.03,0.66,3.0,618.0,51.9,Low,8.38449111470113
1129,Sadar,4.37,6.15,4.55,2.0,252.0,34.1,Low,13.478260869565217
1130,Sadar,4.83,6.09,5.16,4.0,461.0,26.7,Low,5.779220779220779
1131,Sadar,6.87,7.32,3.13,5.0,684.0,61.5,High,8.978102189781021
1132,Sadar,8.81,6.83,0.51,3.0,459.0,41.6,Low,9.043478260869566
1133,Nagpur Central,5.09,6.87,1.12,3.0,401.0,16.2,Low,4.029850746268656
1134,Sadar,3.23,3.85,3.85,3.0,99.0,64.9,Low,64.9
1135,Manish Nagar,3.13,8.09,0.61,4.0,468.0,25.3,Low,5.394456289978678
1136,Dharampeth,7.71,5.94,6.98,2.0,808.0,3.8,Low,0.4697156983930779
1137,Sadar,8.35,4.88,2.07,3.0,637.0,36.1,Low,5.6583072100313485
1138,Nagpur Central,1.95,6.63,3.02,4.0,896.0,9.8,High,1.0925306577480491
1139,Dharampeth,1.6,4.25,3.94,5.0,152.0,17.9,Low,11.699346405228757
1140,Dharampeth,6.35,5.61,4.17,6.0,40.0,54.0,Low,131.70731707317074
1141,Manish Nagar,2.32,7.63,0.02,2.0,561.0,10.3,Low,1.8327402135231319
1142,Nagpur Central,8.42,8.98,1.12,2.0,203.0,58.3,Low,28.57843137254902
1143,Dharampeth,3.79,9.29,8.63,2.0,606.0,67.5,High,11.120263591433279
1144,Dharampeth,2.29,5.53,0.01,1.0,906.0,44.1,High,4.862183020948181
1145,Manish Nagar,9.29,5.68,5.08,5.0,357.0,51.4,Low,14.35754189944134
1146,Manish Nagar,2.49,8.2,4.9,0.0,563.0,51.7,High,9.166666666666668
1147,Nagpur Central,3.56,3.83,3.33,1.0,691.0,71.5,High,10.332369942196532
1148,Nagpur Central,2.38,8.54,4.31,4.0,175.0,25.2,Low,14.318181818181818
1149,Manish Nagar,2.04,5.45,7.81,5.0,900.0,12.6,High,1.3984461709211986
1150,Nagpur Central,1.19,2.04,8.41,1.0,226.0,37.9,Low,16.696035242290748
1151,Manish Nagar,1.5,1.65,2.6,5.0,814.0,38.9,High,4.773006134969325
1152,Dharampeth,2.57,8.58,3.22,4.0,670.0,13.6,High,2.0268256333830106
1153,Manish Nagar,1.48,1.5,2.42,3.0,166.0,44.5,Low,26.646706586826348
1154,Dharampeth,6.32,3.53,4.8,2.0,733.0,2.0,Low,0.2724795640326975
1155,Dharampeth,7.13,4.01,6.83,5.0,220.0,66.9,Low,30.271493212669686
1156,Sadar,4.54,2.56,2.28,1.0,611.0,19.8,Low,3.2352941176470593
1157,Nagpur Central,3.86,3.83,3.31,2.0,960.0,3.8,High,0.39542143600416235
1158,Sadar,5.54,7.68,9.3,4.0,954.0,8.7,High,0.9109947643979056
1159,Sadar,8.88,1.13,0.49,7.0,875.0,18.1,Low,2.0662100456621006
1160,Manish Nagar,8.66,8.44,4.61,6.0,509.0,20.4,Low,3.9999999999999996
1161,Manish Nagar,1.39,8.71,7.12,4.0,572.0,3.3,High,0.5759162303664921
1162,Sadar,2.63,4.35,1.5,4.0,321.0,20.8,Low,6.459627329192546
1163,Dharampeth,3.13,2.38,0.47,2.0,923.0,14.7,Low,1.5909090909090908
1164,Dharampeth,3.24,6.41,1.38,2.0,492.0,27.9,Low,5.659229208924949
1165,Dharampeth,6.14,2.08,9.19,4.0,778.0,28.3,High,3.6328626444159178
1166,Manish Nagar,4.75,4.28,0.09,2.0,378.0,25.1,Low,6.62269129287599
1167,Dharampeth,1.44,9.63,1.88,1.0,748.0,24.3,High,3.2443257676902535
1168,Nagpur Central,4.36,9.96,0.31,2.0,247.0,7.4,Low,2.9838709677419355
1169,Dharampeth,5.71,7.95,1.11,6.0,741.0,2.8,Low,0.3773584905660377
1170,Nagpur Central,1.92,3.8,6.2,2.0,74.0,15.4,Low,20.533333333333335
1171,Nagpur Central,8.5,7.19,2.42,3.0,131.0,54.7,Low,41.439393939393945
1172,Nagpur Central,1.47,7.35,5.69,1.0,371.0,71.3,High,19.166666666666664
1173,Manish Nagar,9.32,4.49,5.9,2.0,497.0,66.9,Low,13.433734939759038
1174,Sadar,1.89,6.77,8.49,5.0,720.0,36.8,High,5.104022191400832
1175,Sadar,8.59,1.1,0.05,6.0,378.0,38.8,Low,10.237467018469657
1176,Dharampeth,9.12,2.88,8.53,0.0,47.0,23.3,Low,48.541666666666664
1177,Sadar,9.82,5.73,6.19,4.0,345.0,55.9,Low,16.156069364161848
1178,Nagpur Central,8.22,2.47,1.63,2.0,456.0,55.3,Low,12.10065645514223
1179,Manish Nagar,8.02,2.49,7.73,7.0,557.0,60.9,High,10.913978494623656
1180,Sadar,6.78,8.53,8.55,4.0,654.0,64.6,High,9.862595419847327
1181,Manish Nagar,8.01,9.9,2.54,1.0,270.0,31.8,Low,11.734317343173432
1182,Nagpur Central,2.21,6.0,9.19,2.0,622.0,55.4,High,8.892455858747992
1183,Dharampeth,5.82,8.55,4.54,3.0,642.0,58.3,High,9.06687402799378
1184,Sadar,5.63,9.91,6.03,3.0,783.0,22.9,High,2.9209183673469385
1185,Dharampeth,8.72,2.27,9.85,3.0,536.0,67.0,High,12.476722532588454
1186,Dharampeth,5.17,5.03,3.62,3.0,816.0,7.7,High,0.9424724602203182
1187,Nagpur Central,4.47,4.53,8.13,4.0,244.0,71.6,High,29.224489795918362
1188,Dharampeth,6.76,1.72,3.18,1.0,720.0,55.7,Low,7.725381414701804
1189,Nagpur Central,3.4,7.8,7.99,2.0,74.0,7.6,Low,10.133333333333333
1190,Dharampeth,2.26,4.9,6.01,3.0,129.0,47.6,Low,36.61538461538461
1191,Sadar,5.3,5.22,2.16,3.0,868.0,3.4,Low,0.3912543153049482
1192,Sadar,4.75,2.36,4.14,2.0,490.0,55.7,Low,11.34419551934827
1193,Sadar,3.09,2.63,3.18,7.0,632.0,57.7,High,9.115323854660348
1194,Dharampeth,4.31,9.16,0.78,3.0,615.0,43.8,High,7.11038961038961
1195,Manish Nagar,4.3,1.4,0.3,1.0,704.0,61.8,Low,8.76595744680851
1196,Nagpur Central,3.95,3.1,3.46,5.0,268.0,7.9,Low,2.936802973977695
1197,Dharampeth,4.42,3.63,0.19,2.0,202.0,20.6,Low,10.147783251231528
1198,Nagpur Central,7.17,5.41,1.65,4.0,71.0,30.4,Low,42.22222222222222
1199,Dharampeth,3.67,6.28,7.25,0.0,868.0,4.0,High,0.46029919447640966
1200,Manish Nagar,9.54,5.44,7.08,3.0,246.0,32.8,Low,13.279352226720647
1201,Dharampeth,9.25,1.76,7.39,4.0,587.0,19.8,Low,3.36734693877551
1202,Manish Nagar,5.33,3.19,3.17,4.0,471.0,28.9,Low,6.122881355932203
1203,Dharampeth,3.96,8.59,8.9,9.0,187.0,31.2,High,16.595744680851062
1204,Sadar,5.82,6.74,5.94,1.0,431.0,63.4,High,14.675925925925926
1205,Dharampeth,8.64,6.84,1.26,4.0,110.0,20.2,Low,18.1981981981982
1206,Dharampeth,6.87,7.03,1.44,5.0,201.0,64.5,Low,31.93069306930693
1207,Manish Nagar,8.24,7.87,6.93,9.0,165.0,31.2,Low,18.795180722891565
1208,Manish Nagar,5.79,1.52,1.73,4.0,829.0,24.3,Low,2.927710843373494
1209,Dharampeth,6.7,4.3,5.07,5.0,580.0,36.7,High,6.3166953528399326
1210,Manish Nagar,3.59,5.86,9.92,2.0,927.0,30.7,High,3.3081896551724137
1211,Dharampeth,7.61,4.05,0.04,3.0,452.0,19.3,Low,4.260485651214128
1212,Sadar,2.82,8.6,0.17,1.0,225.0,36.7,Low,16.238938053097346
1213,Manish Nagar,7.25,5.34,9.93,1.0,620.0,11.8,Low,1.9001610305958132
1214,Dharampeth,8.75,7.92,5.85,2.0,931.0,26.0,High,2.7896995708154506
1215,Sadar,2.19,8.67,1.27,5.0,546.0,41.2,High,7.531992687385741
1216,Dharampeth,6.53,5.54,8.97,3.0,47.0,30.4,Low,63.33333333333333
1217,Nagpur Central,1.86,9.19,8.8,0.0,324.0,59.5,High,18.307692307692307
1218,Nagpur Central,7.53,6.28,5.36,6.0,927.0,19.2,High,2.0689655172413794
1219,Dharampeth,1.76,8.65,6.22,4.0,532.0,69.9,High,13.114446529080675
1220,Manish Nagar,9.42,4.07,2.73,5.0,953.0,56.7,High,5.943396226415095
1221,Nagpur Central,2.24,5.49,0.51,1.0,523.0,69.7,High,13.301526717557252
1222,Dharampeth,9.63,5.78,5.95,1.0,41.0,60.5,Low,144.04761904761904
1223,Sadar,8.21,1.94,2.95,2.0,876.0,11.1,Low,1.2656784492588369
1224,Nagpur Central,6.34,4.59,6.64,3.0,770.0,38.4,High,4.980544747081712
1225,Sadar,8.04,9.26,8.36,6.0,723.0,13.1,High,1.80939226519337
1226,Dharampeth,8.16,6.68,0.18,3.0,971.0,59.1,High,6.080246913580247
1227,Manish Nagar,9.51,2.6,5.96,1.0,220.0,42.5,Low,19.230769230769234
1228,Sadar,3.28,4.05,2.31,4.0,908.0,19.7,High,2.167216721672167
1229,Sadar,6.31,2.72,8.74,3.0,255.0,67.0,High,26.171875
1230,Nagpur Central,1.86,1.22,2.54,3.0,971.0,9.2,High,0.9465020576131686
1231,Dharampeth,6.55,9.35,6.11,4.0,215.0,41.0,Low,18.98148148148148
1232,Manish Nagar,2.54,5.03,5.54,3.0,563.0,52.2,High,9.255319148936172
1233,Nagpur Central,6.08,3.77,3.96,2.0,795.0,5.2,Low,0.6532663316582915
1234,Manish Nagar,6.15,6.39,6.78,3.0,105.0,43.4,Low,40.94339622641509
1235,Dharampeth,5.19,1.07,7.26,6.0,94.0,58.9,Low,62.0
1236,Sadar,5.7,3.5,5.67,4.0,854.0,5.8,High,0.6783625730994152
1237,Sadar,7.88,7.33,7.58,6.0,88.0,37.4,Low,42.02247191011236
1238,Dharampeth,8.19,6.7,9.83,1.0,625.0,19.4,High,3.099041533546326
1239,Dharampeth,5.43,9.84,4.19,1.0,940.0,48.1,High,5.111583421891605
1240,Sadar,6.4,6.58,5.15,3.0,626.0,9.4,Low,1.4992025518341308
