facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
1050,Manish Nagar,9.58,9.99,0.3,1,864.0,4.4,Low
1051,Manish Nagar,3.62,6.99,4.01,3,419.0,21.3,Low
1052,Nagpur Central,5.64,6.85,8.96,2,934.0,10.9,High
1053,Dharampeth,3.3,1.81,6.72,1,342.0,32.3,Low
1054,Dharampeth,9.42,9.07,2.38,3,227.0,30.4,Low
1055,Dharampeth,2.48,1.26,8.53,5,397.0,38.1,High
1056,Nagpur Central,1.4,3.17,3.48,4,542.0,20.9,High
1057,Sadar,4.92,2.29,8.53,6,678.0,3.3,High
1058,Nagpur Central,9.93,7.99,2.99,4,837.0,44.6,High
1059,Sadar,9.03,2.78,5.9,9,248.0,27.5,Low
1060,Sadar,7.74,9.2,3.97,2,324.0,47.2,Low
1061,Manish Nagar,9.02,6.91,2.75,3,940.0,8.7,Low
1062,Sadar,9.04,1.33,8.87,2,456.0,2.0,Low
1063,Dharampeth,5.67,1.05,1.88,3,264.0,18.6,Low
1064,Manish Nagar,3.84,1.46,0.85,2,986.0,33.4,High
1065,Dharampeth,7.95,6.45,3.42,2,465.0,29.0,Low
1066,Dharampeth,6.95,8.21,7.18,4,985.0,58.5,High
1067,Manish Nagar,4.36,3.15,8.07,2,921.0,27.8,High
1068,Dharampeth,1.85,8.64,9.99,4,908.0,38.7,High
1069,Nagpur Central,7.72,1.52,2.96,7,594.0,43.1,Low
1070,Dharampeth,3.36,8.21,4.08,3,804.0,2.6,High
1071,Manish Nagar,9.43,9.35,1.37,2,961.0,37.6,High
1072,Nagpur Central,3.17,7.95,5.75,6,291.0,25.5,High
1073,Dharampeth,2.1,7.28,9.98,4,66.0,30.9,High
1074,Nagpur Central,8.48,8.54,7.01,2,341.0,8.1,Low
1075,Sadar,2.38,1.36,5.95,1,647.0,56.6,High
1076,Dharampeth,2.61,2.82,3.92,1,560.0,67.9,High
1077,Dharampeth,6.39,2.12,9.15,2,108.0,2.6,Low
1078,Nagpur Central,8.87,5.54,4.97,3,573.0,43.7,Low
1079,Sadar,2.77,7.71,1.34,4,199.0,55.2,Low
1080,Sadar,3.79,6.67,3.65,4,520.0,21.2,High
1081,Manish Nagar,8.0,8.66,0.67,3,588.0,56.9,Low
1082,Dharampeth,9.75,2.4,2.02,2,647.0,45.9,Low
1083,Nagpur Central,5.51,7.61,0.18,1,430.0,67.0,Low
1084,Manish Nagar,2.3,2.74,4.53,4,426.0,70.7,High
1085,Sadar,1.13,3.44,6.35,6,688.0,4.0,High
1086,Sadar,3.07,7.39,3.43,2,756.0,32.6,High
1087,Nagpur Central,2.19,9.82,4.2,5,813.0,39.8,High
1088,Dharampeth,7.1,6.5,9.59,0,353.0,11.4,Low
1089,Manish Nagar,2.1,1.49,7.52,3,441.0,24.9,High
1090,Manish Nagar,5.56,6.55,5.41,4,350.0,71.1,High
1091,Dharampeth,7.25,1.38,2.85,4,541.0,2.2,Low
1092,Manish Nagar,6.23,8.96,8.97,0,153.0,33.1,Low
1093,Manish Nagar,2.8,7.39,2.35,3,447.0,60.8,High
1094,Dharampeth,8.24,2.56,3.25,4,213.0,24.0,Low
1095,Manish Nagar,7.44,1.83,9.09,2,546.0,35.1,Low
1096,Dharampeth,7.65,2.65,5.3,2,855.0,70.4,High
1097,Nagpur Central,2.18,9.82,7.42,2,985.0,34.7,High
1098,Sadar,2.11,5.13,5.91,2,462.0,10.3,Low
1099,Sadar,9.35,8.06,6.53,1,84.0,4.7,Low
1100,Nagpur Central,4.58,6.73,2.99,3,251.0,68.1,High
1101,Manish Nagar,3.71,6.15,2.41,3,131.0,19.9,Low
1102,Nagpur Central,5.4,2.31,3.22,2,766.0,36.8,High
1103,Manish Nagar,6.97,9.51,1.55,5,985.0,7.4,High
1104,Nagpur Central,9.6,3.71,8.74,5,567.0,31.1,Low
1105,Manish Nagar,3.58,6.2,2.83,5,201.0,67.0,High
1106,Manish Nagar,9.32,7.3,5.61,2,50.0,36.7,Low
1107,Manish Nagar,1.22,6.84,7.92,1,976.0,70.0,High
1108,Sadar,6.0,9.47,7.84,4,336.0,19.4,High
1109,Dharampeth,6.71,2.34,4.38,5,138.0,36.8,Low
1110,Sadar,1.95,5.58,4.76,4,201.0,62.0,High
1111,Dharampeth,2.26,4.64,9.95,2,277.0,32.8,High
1112,Manish Nagar,4.77,5.27,6.75,2,666.0,20.8,High
1113,Sadar,9.7,2.07,8.15,3,895.0,61.7,High
1114,Dharampeth,6.36,2.21,9.03,4,296.0,28.7,Low
1115,Sadar,9.4,3.5,7.88,4,696.0,38.7,High
1116,Sadar,8.24,3.74,1.85,0,92.0,70.3,Low
1117,Nagpur Central,5.21,4.85,5.62,2,39.0,14.2,Low
1118,Nagpur Central,8.06,6.5,1.02,4,83.0,22.4,Low
1119,Nagpur Central,1.16,6.71,6.53,4,925.0,3.2,High
1120,Nagpur Central,1.98,4.71,9.55,1,594.0,28.8,High
1121,Dharampeth,8.46,4.68,5.13,6,811.0,15.2,High
1122,Sadar,8.17,2.96,4.33,3,51.0,49.3,Low
1123,Sadar,3.09,6.29,0.36,6,51.0,13.9,Low
1124,Dharampeth,5.78,3.85,9.6,1,853.0,48.9,High
1125,Manish Nagar,6.45,1.32,1.03,5,129.0,19.7,Low
1126,Sadar,8.81,4.77,0.41,3,180.0,26.2,Low
1127,Nagpur Central,6.43,5.27,2.46,3,533.0,25.8,Low
1128,Manish Nagar,4.71,3.03,0.66,3,618.0,51.9,Low
1129,Sadar,4.37,6.15,4.55,2,252.0,34.1,Low
1130,Sadar,4.83,6.09,5.16,4,461.0,26.7,Low
1131,Sadar,6.87,7.32,3.13,5,684.0,61.5,High
1132,Sadar,8.81,6.83,0.51,3,459.0,41.6,Low
1133,Nagpur Central,5.09,6.87,1.12,3,401.0,16.2,Low
1134,Sadar,3.23,3.85,3.85,3,99.0,64.9,Low
1135,Manish Nagar,3.13,8.09,0.61,4,468.0,25.3,Low
1136,Dharampeth,7.71,5.94,6.98,2,808.0,3.8,Low
1137,Sadar,8.35,4.88,2.07,3,637.0,36.1,Low
1138,Nagpur Central,1.95,6.63,3.02,4,896.0,9.8,High
1139,Dharampeth,1.6,4.25,3.94,5,152.0,17.9,Low
1140,Dharampeth,6.35,5.61,4.17,6,40.0,54.0,Low
1141,Manish Nagar,2.32,7.63,0.02,2,561.0,10.3,Low
1142,Nagpur Central,8.42,8.98,1.12,2,203.0,58.3,Low
1143,Dharampeth,3.79,9.29,8.63,2,606.0,67.5,High
1144,Dharampeth,2.29,5.53,0.01,1,906.0,44.1,High
1145,Manish Nagar,9.29,5.68,5.08,5,357.0,51.4,Low
1146,Manish Nagar,2.49,8.2,4.9,0,563.0,51.7,High
1147,Nagpur Central,3.56,3.83,3.33,1,691.0,71.5,High
1148,Nagpur Central,2.38,8.54,4.31,4,175.0,25.2,Low
1149,Manish Nagar,2.04,5.45,7.81,5,900.0,12.6,High
1150,Nagpur Central,1.19,2.04,8.41,1,226.0,37.9,Low
1151,Manish Nagar,1.5,1.65,2.6,5,814.0,38.9,High
1152,Dharampeth,2.57,8.58,3.22,4,670.0,13.6,High
1153,Manish Nagar,1.48,1.5,2.42,3,166.0,44.5,Low
1154,Dharampeth,6.32,3.53,4.8,2,733.0,2.0,Low
1155,Dharampeth,7.13,4.01,6.83,5,220.0,66.9,Low
1156,Sadar,4.54,2.56,2.28,1,611.0,19.8,Low
1157,Nagpur Central,3.86,3.83,3.31,2,960.0,3.8,High
1158,Sadar,5.54,7.68,9.3,4,954.0,8.7,High
1159,Sadar,8.88,1.13,0.49,7,875.0,18.1,Low
1160,Manish Nagar,8.66,8.44,4.61,6,509.0,20.4,Low
1161,Manish Nagar,1.39,8.71,7.12,4,572.0,3.3,High
1162,Sadar,2.63,4.35,1.5,4,321.0,20.8,Low
1163,Dharampeth,3.13,2.38,0.47,2,923.0,14.7,Low
1164,Dharampeth,3.24,6.41,1.38,2,492.0,27.9,Low
1165,Dharampeth,6.14,2.08,9.19,4,778.0,28.3,High
1166,Manish Nagar,4.75,4.28,0.09,2,378.0,25.1,Low
1167,Dharampeth,1.44,9.63,1.88,1,748.0,24.3,High
1168,Nagpur Central,4.36,9.96,0.31,2,247.0,7.4,Low
1169,Dharampeth,5.71,7.95,1.11,6,741.0,2.8,Low
1170,Nagpur Central,1.92,3.8,6.2,2,74.0,15.4,Low
1171,Nagpur Central,8.5,7.19,2.42,3,131.0,54.7,Low
1172,Nagpur Central,1.47,7.35,5.69,1,371.0,71.3,High
1173,Manish Nagar,9.32,4.49,5.9,2,497.0,66.9,Low
1174,Sadar,1.89,6.77,8.49,5,720.0,36.8,High
1175,Sadar,8.59,1.1,0.05,6,378.0,38.8,Low
1176,Dharampeth,9.12,2.88,8.53,0,47.0,23.3,Low
1177,Sadar,9.82,5.73,6.19,4,345.0,55.9,Low
1178,Nagpur Central,8.22,2.47,1.63,2,456.0,55.3,Low
1179,Manish Nagar,8.02,2.49,7.73,7,557.0,60.9,High
1180,Sadar,6.78,8.53,8.55,4,654.0,64.6,High
1181,Manish Nagar,8.01,9.9,2.54,1,270.0,31.8,Low
1182,Nagpur Central,2.21,6.0,9.19,2,622.0,55.4,High
1183,Dharampeth,5.82,8.55,4.54,3,642.0,58.3,High
1184,Sadar,5.63,9.91,6.03,3,783.0,22.9,High
1185,Dharampeth,8.72,2.27,9.85,3,536.0,67.0,High
1186,Dharampeth,5.17,5.03,3.62,3,816.0,7.7,High
1187,Nagpur Central,4.47,4.53,8.13,4,244.0,71.6,High
1188,Dharampeth,6.76,1.72,3.18,1,720.0,55.7,Low
1189,Nagpur Central,3.4,7.8,7.99,2,74.0,7.6,Low
1190,Dharampeth,2.26,4.9,6.01,3,129.0,47.6,Low
1191,Sadar,5.3,5.22,2.16,3,868.0,3.4,Low
1192,Sadar,4.75,2.36,4.14,2,490.0,55.7,Low
1193,Sadar,3.09,2.63,3.18,7,632.0,57.7,High
1194,Dharampeth,4.31,9.16,0.78,3,615.0,43.8,High
1195,Manish Nagar,4.3,1.4,0.3,1,704.0,61.8,Low
1196,Nagpur Central,3.95,3.1,3.46,5,268.0,7.9,Low
1197,Dharampeth,4.42,3.63,0.19,2,202.0,20.6,Low
1198,Nagpur Central,7.17,5.41,1.65,4,71.0,30.4,Low
1199,Dharampeth,3.67,6.28,7.25,0,868.0,4.0,High
1200,Manish Nagar,9.54,5.44,7.08,3,246.0,32.8,Low
1201,Dharampeth,9.25,1.76,7.39,4,587.0,19.8,Low
1202,Manish Nagar,5.33,3.19,3.17,4,471.0,28.9,Low
1203,Dharampeth,3.96,8.59,8.9,9,187.0,31.2,High
1204,Sadar,5.82,6.74,5.94,1,431.0,63.4,High
1205,Dharampeth,8.64,6.84,1.26,4,110.0,20.2,Low
1206,Dharampeth,6.87,7.03,1.44,5,201.0,64.5,Low
1207,Manish Nagar,8.24,7.87,6.93,9,165.0,31.2,Low
1208,Manish Nagar,5.79,1.52,1.73,4,829.0,24.3,Low
1209,Dharampeth,6.7,4.3,5.07,5,580.0,36.7,High
1210,Manish Nagar,3.59,5.86,9.92,2,927.0,30.7,High
1211,Dharampeth,7.61,4.05,0.04,3,452.0,19.3,Low
1212,Sadar,2.82,8.6,0.17,1,225.0,36.7,Low
1213,Manish Nagar,7.25,5.34,9.93,1,620.0,11.8,Low
1214,Dharampeth,8.75,7.92,5.85,2,931.0,26.0,High
1215,Sadar,2.19,8.67,1.27,5,546.0,41.2,High
1216,Dharampeth,6.53,5.54,8.97,3,47.0,30.4,Low
1217,Nagpur Central,1.86,9.19,8.8,0,324.0,59.5,High
1218,Nagpur Central,7.53,6.28,5.36,6,927.0,19.2,High
1219,Dharampeth,1.76,8.65,6.22,4,532.0,69.9,High
1220,Manish Nagar,9.42,4.07,2.73,5,953.0,56.7,High
1221,Nagpur Central,2.24,5.49,0.51,1,523.0,69.7,High
1222,Dharampeth,9.63,5.78,5.95,1,41.0,60.5,Low
1223,Sadar,8.21,1.94,2.95,2,876.0,11.1,Low
1224,Nagpur Central,6.34,4.59,6.64,3,770.0,38.4,High
1225,Sadar,8.04,9.26,8.36,6,723.0,13.1,High
1226,Dharampeth,8.16,6.68,0.18,3,971.0,59.1,High
1227,Manish Nagar,9.51,2.6,5.96,1,220.0,42.5,Low
1228,Sadar,3.28,4.05,2.31,4,908.0,19.7,High
1229,Sadar,6.31,2.72,8.74,3,255.0,67.0,High
1230,Nagpur Central,1.86,1.22,2.54,3,971.0,9.2,High
1231,Dharampeth,6.55,9.35,6.11,4,215.0,41.0,Low
1232,Manish Nagar,2.54,5.03,5.54,3,563.0,52.2,High
1233,Nagpur Central,6.08,3.77,3.96,2,795.0,5.2,Low
1234,Manish Nagar,6.15,6.39,6.78,3,105.0,43.4,Low
1235,Dharampeth,5.19,1.07,7.26,6,94.0,58.9,Low
1236,Sadar,5.7,3.5,5.67,4,854.0,5.8,High
1237,Sadar,7.88,7.33,7.58,6,88.0,37.4,Low
1238,Dharampeth,8.19,6.7,9.83,1,625.0,19.4,High
1239,Dharampeth,5.43,9.84,4.19,1,940.0,48.1,High
1240,Sadar,6.4,6.58,5.15,3,626.0,9.4,Low
1006,Manish Nagar,5.45,4.77,7.82,5,942.0,52.8,High
